id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-04-10T18:57:00;payment unleash Jamaican Dollar;1
2;Rest;2020-04-11T14:13:30;Plains;2
3;Quality Plastic plum;2020-04-10T18:33:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-04-11T15:01:04;Architect SSL;4
5;zero tolerance;2020-04-11T11:57:23;user-facing CSS;5
6;ADP Ouguiya;2020-04-11T07:53:51;Garden;6
7;auxiliary;2020-04-11T16:09:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-04-10T19:07:52;Viaduct hybrid;8
9;mesh;2020-04-11T17:33:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-04-11T15:32:25;Re-engineered withdrawal Ball;10
